NAME	POS	GP	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	REB	AST	STL	BLK	TO	DD2	TD3
Cole Anthony orl	PG	81	22.4	11.6	4.1	9.4	43.5	1.1	3.4	33.8	2.2	2.7	82.6	3.8	2.9	0.8	0.5	1.6	3	0
Clint Capela ATL	C	73	25.8	11.5	4.8	8.5	57.1	0	0	0	1.8	2.8	63.1	10.6	1.2	0.6	1.5	1	38	0
Mike Conley min	PG	76	28.9	11.4	3.9	8.5	45.7	2.4	5.3	44.2	1.3	1.5	91.1	2.9	5.9	1.2	0.2	1.3	5	0
Malik Beasley mil	SG	79	29.6	11.3	4.1	9.1	44.3	2.8	6.9	41.3	0.3	0.4	71.4	3.7	1.4	0.7	0.1	0.7	1	0
Zach Collins sa	PF	69	22.1	11.2	4.3	8.9	48.4	0.8	2.6	32	1.8	2.3	75.3	5.4	2.8	0.5	0.8	1.9	3	0
Russell Westbrook lac	PG	68	22.5	11.1	4.4	9.8	45.4	0.6	2.3	27.3	1.6	2.4	68.8	5	4.5	1.1	0.3	2.1	8	1
Eric Gordon phx	SG	68	27.8	11	4	9.1	44.3	2.2	5.8	37.8	0.8	0.9	79.7	1.8	2	1	0.4	1.1	0	0
Herbert Jones no	SF	76	30.5	11	3.9	7.7	49.8	1.5	3.6	41.8	1.8	2.1	86.7	3.6	2.6	1.4	0.8	1.2	0	0
Daniel Gafford WSH/DAL	C	74	24.5	11	4.7	6.5	72.5	0	0	0	1.6	2.4	67.4	7.6	1.6	0.9	2.1	1	15	0
Jusuf Nurkic phx	C	76	27.3	10.9	4.2	8.3	51	0.3	1.2	24.4	2.2	3.4	64	11	4	1.1	1.1	2.3	28	0
Luguentz Dort OKC	G	79	28.4	10.9	3.6	8.3	43.8	2	5	39.4	1.6	2	82.6	3.6	1.4	0.9	0.6	0.9	0	0
Moritz Wagner orl	C	80	17.7	10.9	4.2	6.9	60.1	0.5	1.4	33	2.1	2.6	81.4	4.3	1.2	0.5	0.3	1.2	3	0
Bruce Brown ind/tor	SF	67	27.8	10.8	4.1	8.7	47.8	0.8	2.4	32.3	1.7	2.1	82.4	4.2	2.9	0.9	0.3	1.3	2	0
Santi Aldama mem	PF	61	26.5	10.7	4	9.3	43.5	1.7	5	34.9	0.9	1.4	62.1	5.8	2.3	0.7	0.9	1.1	5	0
Jaden McDaniels min	PF	72	29.2	10.5	4.3	8.7	48.9	1.2	3.5	33.7	0.8	1.1	72.2	3.1	1.4	0.9	0.6	1.2	0	0
Simone Fontecchio utah/det	F	66	24.9	10.5	3.8	8.3	46	2	5.1	40.1	0.8	1	81.8	3.7	1.5	0.7	0.3	1	0	0
Spencer Dinwiddie lal/bkn	PG	76	28.3	10.5	3.3	8.4	39.2	1.6	4.8	33.7	2.2	2.8	80.5	2.7	4.7	0.7	0.3	1.2	4	0
Alec Burks NY/DET	SG	66	18.4	10.4	3.2	8.6	36.9	1.9	5	37.6	2.2	2.5	86.8	2.3	1.3	0.4	0.2	0.7	0	0
Grant Williams dalvcha	PF	76	28	10.3	3.6	8	45.6	1.7	4.4	37.5	1.4	1.8	75.7	4.2	2.3	0.6	0.5	1.4	2	0
Obi Toppin ind	PF	82	21.1	10.3	4	7.1	57.3	1.2	3.1	40.3	0.9	1.2	77	3.9	1.6	0.6	0.5	0.8	1	0
T.J. McConnell ind	PG	71	18.2	10.2	4.6	8.4	55.6	0.3	0.6	40.9	0.7	0.9	79	2.7	5.5	1	0.1	1.5	4	0
Kevin Huerter sac	SG	64	24.4	10.2	3.9	8.8	44.3	1.9	5.3	36.1	0.6	0.7	76.6	3.5	2.6	0.7	0.4	0.8	2	0
Reggie Jackson den	PG	82	22.2	10.2	4	9.2	43.1	1.2	3.5	35.9	1	1.2	80.6	1.9	3.8	0.5	0.1	1.3	2	0
Kentavious Caldwell-Pope den	SG	76	31.6	10.1	3.6	7.7	46	1.6	4.1	40.6	1.3	1.5	89.4	2.4	2.4	1.3	0.6	1	0	0
Alex Caruso chi	SG	71	28.7	10.1	3.6	7.6	46.8	1.9	4.7	40.8	1	1.4	76	3.8	3.5	1.7	1	1.4	1	0
Tre Jones SA	PG	77	27.8	10	3.9	7.8	50.5	0.8	2.5	33.5	1.3	1.5	85.6	3.8	6.2	1	0.1	1.5	5	1
Caleb Martin mia	SF	64	27.5	10	3.8	8.7	43.1	1.3	3.6	34.9	1.2	1.5	77.8	4.4	2.2	0.7	0.5	1.2	2	0
Jalen Smith IND	PF	61	17.2	9.9	3.8	6.5	59.2	1	2.4	42.4	1.2	1.7	69.2	5.5	1	0.3	0.6	0.7	5	0
Kelly Olynyk utah/tor	PF	78	22.6	9.8	3.5	6.4	55.5	0.8	2	38.7	1.9	2.3	83.3	5.3	4.4	0.9	0.4	1.9	6	0
Lonnie Walker IV BKN	G	58	17.4	9.7	3.6	8.5	42.3	1.8	4.7	38.4	0.8	1	76.3	2.2	1.3	0.6	0.3	0.9	0	0
Nick Richards cha	C	67	26.3	9.7	3.9	5.6	69.1	0	0	0	2	2.7	73.7	8	0.8	0.4	1.1	1.1	19	0
Payton Pritchard bos	PG	82	22.3	9.6	3.6	7.7	46.8	1.8	4.7	38.5	0.6	0.7	82.1	3.2	3.4	0.5	0.1	0.7	3	0
Amen Thompson hou	F	62	22.4	9.5	3.9	7.2	53.6	0.1	0.9	13.8	1.7	2.5	68.4	6.6	2.6	1.3	0.6	1.5	13	1
Josh Hart NY	SG	81	33.4	9.4	3.6	8.4	43.4	1	3.2	31	1.1	1.4	79.1	8.3	4.1	0.9	0.3	1.5	21	6
Isaac Okoro cle	SF	69	27.3	9.4	3.4	7	49	1.2	3.1	39.1	1.3	2	67.9	3	1.9	0.8	0.5	0.8	0	0
Georges Niang cle	SF	82	22.3	9.4	3.5	7.7	44.9	1.8	4.8	37.6	0.6	0.7	85	3.4	1.2	0.4	0.2	0.9	0	0
Brandin Podziemski gs	G	74	26.6	9.2	3.7	8.1	45.4	1.2	3.2	38.5	0.7	1.1	63.3	5.8	3.7	0.8	0.2	1.2	7	0
Andrew Nembhard IND	PG	68	25	9.2	3.8	7.7	49.8	0.9	2.5	35.7	0.7	0.8	80.4	2.1	4.1	0.9	0.1	1.5	1	0
Malaki Branham sa	G	75	21.3	9.2	3.6	8.4	43.2	1.2	3.6	34.7	0.7	0.8	87.3	2	2.1	0.4	0.1	1.2	0	0
Chris Paul gs	PG	58	26.4	9.2	3.6	8.1	44.1	1.3	3.6	37.1	0.7	0.9	82.7	3.9	6.8	1.2	0.1	1.3	5	0
Duop Reath POR	C	68	17.9	9.1	3.4	7.3	46.1	1.3	3.6	35.9	1	1.4	74.2	3.7	1	0.5	0.6	0.8	1	0
Sam Hauser bos	SF	79	22	9	3.2	7.1	44.6	2.5	5.9	42.4	0.2	0.2	89.5	3.5	1	0.5	0.3	0.4	0	0
Taurean Prince LAL	PF	78	27	8.9	3.2	7.3	44.2	1.8	4.6	39.6	0.6	0.9	73.5	2.9	1.5	0.7	0.4	0.9	0	0
Jabari Walker por	F	72	23.6	8.9	3.3	7.1	46	0.6	1.9	29.5	1.8	2.4	75.4	7.1	1	0.6	0.3	0.9	11	0
Ausar Thompson DET	F	63	25.1	8.8	3.7	7.6	48.3	0.3	1.8	18.6	1.1	1.9	59.7	6.4	1.9	1.1	0.9	1.3	2	0
Terance Mann lac	SG	75	25	8.8	3.4	6.6	51.5	0.9	2.7	34.8	1.1	1.3	83.2	3.4	1.6	0.6	0.2	0.6	2	0
Al Horford bos	C	65	26.8	8.6	3.3	6.4	51.1	1.7	4	41.9	0.4	0.5	86.7	6.4	2.6	0.6	1	0.7	3	0
Derrick Jones Jr. dal	SF	76	23.5	8.6	3.1	6.5	48.3	1.1	3.1	34.3	1.3	1.8	71.3	3.3	1	0.7	0.7	0.9	2	0
Dorian Finney-Smith BKN	PF	68	28.5	8.5	3.2	7.5	42.1	1.7	4.9	34.8	0.5	0.7	71.7	4.7	1.6	0.8	0.6	0.9	0	0
Gradey Dick tor	G	60	21.1	8.5	3.2	7.4	42.5	1.5	4	36.5	0.7	0.9	86.3	2.2	1.1	0.6	0	0.8	0	0
Bilal Coulibaly wsh	SG	63	27.2	8.4	3	6.9	43.5	1	2.9	34.6	1.5	2.1	70.2	4.1	1.7	0.9	0.8	1.4	1	0
Andre Drummond chi	C	79	17.1	8.4	3.4	6.1	55.6	0	0	0	1.6	2.8	59.2	9	0.5	0.9	0.6	1	18	0
Miles McBride NY	PG	68	19.5	8.3	3	6.7	45.2	1.6	3.9	41	0.6	0.7	86	1.5	1.7	0.7	0.1	0.4	0	0
