NAME	POS	GP	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	REB	AST	STL	BLK	TO	DD2	TD3
Anfernee Simons POR	SG	46	34.4	22.6	7.8	18.2	43	3.4	8.8	38.5	3.5	3.9	91.6	3.6	5.5	0.5	0.1	2.7	3	0
Jerami Grant por	SF	54	33.9	21	7.1	15.7	45.1	2.1	5.1	40.2	4.7	5.8	81.7	3.5	2.8	0.8	0.6	2.1	1	0
Tyler Herro MIA	PG	42	33.5	20.8	7.7	17.5	44.1	3.1	7.9	39.6	2.3	2.6	85.6	5.3	4.5	0.7	0.1	2.2	2	0
I Kristaps Porzingis bos	C	57	29.6	20.1	6.8	13.2	51.6	1.9	5.1	37.5	4.5	5.3	85.8	7.2	2	0.7	1.9	1.6	13	0
' Zach LaVine chi	SG	25	34.9	19.5	6.8	15	45.2	2.4	6.8	34.9	3.5	4.1	85.4	5.2	3.9	0.8	0.3	2.1	1	0
Bradley Beal phx	SG	53	33.3	18.2	7.1	13.9	51.3	1.9	4.4	43	2.1	2.5	81.3	4.4	5	1	0.5	2.5	3	0
' Darius Garland CLE	PG	57	33.3	18	6.6	14.8	44.6	2.3	6.2	37.1	2.6	3.1	83.4	2.7	6.5	1.3	0.1	3.1	6	0
Æ Jordan Clarkson Utah	PG	55	30.6	17.1	6.1	14.8	41.3	1.7	5.6	29.4	3.2	3.7	88.1	3.4	5	0.6	0.1	2.7	6	1
Deandre Ayton POR	C	55	32.4	16.7	7.8	13.6	57	0	0.2	10	1.2	1.4	82.3	11.1	1.6	1	0.8	1.8	32	0
i Jalen Johnson atl	SF	56	33.7	16	6.4	12.5	51.1	1.3	3.6	35.5	1.9	2.6	72.8	8.7	3.6	1.2	0.8	1.8	19	1
Shaedon Sharpe POR	SG	32	33.1	15.9	5.5	13.6	40.6	1.9	5.6	33.3	3.1	3.7	82.4	5	2.9	0.9	0.4	2.3	1	0
Malcolm Brogdon por	PG	39	28.7	15.7	5.6	12.7	44	2.1	5.1	41.2	2.4	3	81.9	3.8	5.5	0.7	0.2	1.5	4	0
Evan Mobley cle	PF	50	30.6	15.7	6.4	11.1	57.9	0.4	1.2	37.3	2.5	3.4	71.9	9.4	3.2	0.9	1.4	1.8	22	0
i De'Andre Hunter ATL	SF	57	29.5	15.6	5.3	11.6	45.9	2.1	5.3	38.5	2.9	3.4	84.7	3.9	1.5	0.7	0.3	1.5	3	0
I Bojan Bogdanovic ny/det	SF	57	25.9	15.2	5.4	11.9	45.4	2.3	5.9	39.8	2.1	2.6	78.5	2.7	1.7	0.5	0.1	1.8	1	0
Khris Middleton MIL	SF	55	27	15.1	5.8	11.7	49.3	1.7	4.5	38.1	1.8	2.2	83.3	4.7	5.3	0.9	0.3	2.3	5	1
Trey Murphy III no	SG	57	29.6	14.8	4.8	10.9	44.3	3	7.8	38	2.2	2.6	81.5	4.9	2.2	0.9	0.5	0.6	1	0
OG Anunoby tor/ny	SF	50	34	14.7	5.6	11.5	48.9	2	5.3	38.2	1.3	1.8	75.3	4.2	2.1	1.4	0.7	1.6	0	0
i GG Jackson II mem	F	48	25.7	14.6	5	11.7	42.8	2.1	6	35.7	2.4	3.2	75.2	4.1	1.2	0.6	0.5	1.4	2	0
i Marcus Smart mem	PG	20	30.3	14.5	5.1	11.9	43	2.1	6.7	31.3	2.2	2.8	76.8	2.7	4.3	2.1	0.3	3.1	0	0
i Scotty Pippen Jr. mem	G	21	25.1	12.9	4.8	9.7	49.3	1.4	3.4	41.7	2	2.6	74.5	3.2	4.7	1.7	0.5	2.7	0	0
Mark Williams cha	C	19	26.7	12.7	5.2	7.9	64.9	0	0	0	2.4	3.4	71.9	9.7	1.2	0.8	1.1	0.9	8	0
Cam Whitmore HOU	F	47	18.7	12.3	4.5	9.9	45.4	1.7	4.7	35.9	1.6	2.4	67.9	3.8	0.7	0.6	0.4	1	1	0
Javonte Green chi	G	9	25.6	12.2	5	8.3	60	1.1	3	37	1.1	1.4	76.9	7.4	0.6	1.1	0.9	0.8	1	0
Marvin Bagley III wsh/det	PF	50	21.1	11.7	4.8	8.2	58.6	0.2	0.5	39.1	1.9	2.5	76.2	6.2	1.1	0.4	0.7	1.2	10	0
Brandon Clarke MEM	PF	6	22.3	11.3	5.5	9.8	55.9	0.2	1	16.7	0.2	1.2	14.3	5.3	1.5	0.8	1	0.5	0	0
Jakob Poeltl tor	C	50	26.4	11.1	5	7.6	65.6	0	0	0	1.2	2.1	55.1	8.6	2.5	0.7	1.5	1.5	20	0
De'Anthony Melton phi	SG	38	26.9	11.1	3.7	9.5	38.6	2	5.6	36	1.7	2.1	83.5	3.7	3	1.6	0.4	1	0	0
Luke Kennard MEM	SG	39	25.6	11	3.6	8.1	44.8	2.7	6.1	45	1	1.2	88.9	2.9	3.5	0.5	0.1	1.4	0	0
Wendell Carter Jr. orl	C	55	25.6	11	4.1	7.7	52.5	1.2	3.1	37.4	1.7	2.4	69.4	6.9	1.7	0.6	0.5	1.2	9	0
Isaiah Stewart det	C	46	30.9	10.9	4	8.3	48.7	1.5	3.8	38.3	1.4	1.8	75.3	6.6	1.6	0.4	0.8	1.4	5	0
Jake LaRavia mem	F	35	23	10.8	3.4	8.7	38.9	1.5	4.5	34	2.6	3.1	82.6	3.7	1.7	0.8	0.3	1.3	2	0
Dalano Banton POR/BOS	G	54	19.4	10.3	3.7	9.3	40.4	1.1	3.7	29.6	1.7	2.2	78.3	3.3	2.4	0.6	0.4	1.4	2	0
Onyeka Okongwu atl	PF	55	25.5	10.2	4.1	6.6	61.1	0.4	1.3	33.3	1.7	2.1	79.3	6.8	1.3	0.5	1.1	0.8	8	0
Talen Horton-Tucker UTAH	SG	51	19.8	10.1	3.6	9.1	39.6	1.2	3.6	33	1.7	2.1	80.7	2.4	3.5	0.9	0.4	1.3	1	0
Vince Williams Jr. mem	G	52	27.6	10	3.3	7.3	44.6	1.5	4	37.8	2	2.5	80	5.6	3.4	0.9	0.7	1.8	3	0
Patrick Williams chi	PF	43	27.3	10	3.7	8.3	44.3	1.4	3.4	39.9	1.2	1.5	78.8	3.9	1.5	0.9	0.8	1.3	0	0
Josh Richardson mia	SG	43	25.7	9.9	3.6	8.1	44.4	1.5	4.4	34.7	1.2	1.3	94.4	2.8	2.4	0.6	0.3	0.8	0	0
Gordon Hayward okc/cha	SF	51	24.4	9.8	3.7	7.9	46.4	0.7	1.8	41.1	1.7	2.4	74.2	3.5	3.1	0.8	0.3	1.3	0	0
Tari Eason hou	F	22	21.8	9.8	4	8.6	46.6	0.8	2.3	36	1	1.5	63.6	7	1.2	1.4	0.9	0.9	3	0
Tre Mann okc/cha	PG	41	24.1	9.3	3.5	7.7	45.9	1.1	3.1	37.3	1.1	1.4	76.3	3.6	4	1.2	0.1	1.6	0	0
Kevin Love mia	PF	55	16.8	8.8	2.9	6.5	44	1.5	4.4	34.4	1.5	2	78.7	6.1	2.1	0.3	0.2	0.9	6	0
Dereck Lively II dal	C	55	23.5	8.8	4	5.4	74.7	0	0	0	0.7	1.5	50.6	6.9	1.1	0.7	1.4	0.9	8	0
Draymond Green gs	PF	55	27.1	8.6	3.4	6.8	49.7	0.9	2.3	39.5	1	1.3	73	7.2	6	1	0.9	2.5	10	1
Tristan Vukcevic wsh	PF	10	15.3	8.5	2.9	6.7	43.3	1	3.6	27.8	1.7	2.2	77.3	3.6	1.3	0.5	0.7	1	0	0
Ziaire Williams MEM	F	51	20.4	8.2	2.9	7.4	39.7	1.1	3.7	30.7	1.2	1.5	82.7	3.5	1.5	0.7	0.2	1.3	1	0
Josh Green dal	SG	57	26.4	8.2	3.1	6.6	47.9	1.3	3.3	38.5	0.7	1	68.4	3.2	2.3	0.8	0.2	1.1	0	0
Derrick Rose mem	PG	24	16.6	8	3.2	6.9	46.1	0.6	1.7	36.6	1	1.1	88.9	1.9	3.3	0.3	0.1	1.3	0	0
Markelle Fultz orl	PG	43	21.2	7.8	3.6	7.6	47.2	0.1	0.4	22.2	0.5	0.8	69.7	3.2	2.8	1	0.3	1.2	0	0
Dante Exum DAL	G	55	19.8	7.8	2.9	5.5	53.3	1	2	49.1	1	1.2	77.9	2.7	2.9	0.4	0.1	0.9	0	0
RaiQuan Gray sa	F	3	13	7.7	3.3	5.7	58.8	1	2.3	42.9	0	0	0	2.3	2	0.3	0.3	0.3	0	0
Nikola Jovic mia	F	46	19.5	7.7	2.8	6.1	45.2	1.4	3.5	39.9	0.7	1	70.2	4.2	2	0.5	0.3	0.9	0	0
Cody Martin cha	SF	28	26.9	7.5	2.9	7.7	38.1	1	3.1	31.4	0.7	1.2	60.6	3.9	3.7	1.1	0.6	1.6	1	0
Brice Sensabaugh UTAH	F	32	18.3	7.5	2.7	6.8	39	1.1	3.6	29.6	1.2	1.3	90.2	3.2	1.7	0.4	0.2	1.5	1	0
Taylor Hendricks UTAH	F	40	21.4	7.3	2.7	6	45	1.3	3.5	37.9	0.6	0.7	79.3	4.6	0.8	0.7	0.8	0.7	1	0
Johnny Juzang UTAH	G	20	18.6	7.2	2.6	5.5	46.4	1.6	3.9	41.6	0.5	0.7	71.4	1.8	1.2	0.2	0.1	0.7	0	0
Kevin Knox II det	SF	31	18.1	7.2	2.8	6	46.2	1	3	33	0.6	0.7	90.9	2.4	0.7	0.4	0.2	0.7	1	0
Lamar Stevens BOS/MEM	PF	38	14.7	7.2	2.8	6.3	45	0.4	1.2	30.4	1.1	1.4	77.8	3.3	0.7	0.6	0.6	0.6	0	0
Landry Shamet wsh	SG	46	15.8	7.1	2.6	6	43.1	1.2	3.4	33.8	0.8	1	82.6	1.3	1.2	0.5	0.2	0.7	0	0
Jose Alvarado no	PG	56	18.4	7.1	2.5	6.2	41.2	1.4	3.7	37.7	0.6	0.9	67.3	2.3	2.1	1.1	0.3	0.7	0	0
Quentin Grimes NY/DET	SG	51	20.1	7	2.4	6.4	37.2	1.6	4.7	33.8	0.7	0.9	75.6	2	1.3	0.7	0.1	0.5	0	0
Jordan Nwora ind/tor	SF	52	13.7	7	2.7	5.8	46.2	0.8	2.5	33.6	0.8	1	83	2.9	1.2	0.5	0.3	1	2	0
Javon Freeman-Liberty TOR	G	22	18.3	7	2.5	5.6	44.4	0.5	1.9	23.8	1.5	1.6	91.7	3.2	1.8	0.5	0.2	1.1	0	0
Christian Wood lal	F	50	17.4	6.9	2.5	5.3	46.6	0.7	2.3	30.7	1.3	1.9	70.2	5.1	1	0.3	0.7	1	2	0
Bones Hyland LAC	PG	37	14.6	6.9	2.6	6.8	38.6	1.2	3.6	32.6	0.5	0.6	78.3	1.5	2.5	0.7	0.1	1.2	1	0
Gary Harris orl	SG	54	24	6.9	2.4	5.5	44.1	1.4	3.8	37.1	0.6	0.8	75.6	1.7	1.6	0.9	0.3	0.6	0	0
Killian Hayes det	PG	42	24	6.9	2.8	6.7	41.3	0.5	1.8	29.7	0.8	1.2	66	2.8	4.9	0.9	0.5	1.2	0	0
Evan Fournier ny/det	SG	32	18.1	6.9	2.5	6.9	35.7	1	4.1	25.4	0.9	1.1	80.6	1.8	1.5	0.9	0.2	0.7	0	0
Maozinha Pereira mem	F	7	17.4	6.9	2.6	5	51.4	0.7	1.9	38.5	1	1.4	70	5.3	0.3	0.9	0.6	0.7	1	0
Trey Jemison wsh/mem	C	25	23	6.8	3	5.4	55.1	0	0	0	0.8	1	84	5.4	1.1	0.5	1.1	1.4	1	0
Robert Williams III por	C	6	19.8	6.8	2.8	4.3	65.4	0	0	0	1.2	1.5	77.8	6.3	0.8	1.2	1.2	1.2	0	0
Davis Bertans okc/cha	SF	43	15.7	6.7	2.1	5.4	39.3	1.8	4.7	38	0.7	0.8	90.9	1.4	0.8	0.6	0.3	0.4	0	0
Jahmi'us Ramsey tor	SG	7	17.3	6.7	2.6	5.9	43.9	0.9	3.1	27.3	0.7	0.9	83.3	3.1	1.1	1	0	1	0	0
Dennis Smith Jr. bkn	PG	56	18.9	6.6	2.6	6	43.5	0.6	1.9	29.4	0.8	1	74.1	2.9	3.6	1.2	0.2	1.2	3	0
Chimezie Metu det/phx	PF	51	16.8	6.5	2.4	4.8	50.4	0.5	1.8	29.8	1.1	1.3	90.6	3.8	0.9	0.8	0.3	1	1	0
David Duke Jr. SA	G	4	12.8	6.5	2.5	4.5	55.6	0.8	1.5	50	0.8	0.8	100	2.5	1.3	0.5	0	0.8	0	0
Jordan Goodwin mem/phx	G	57	18.5	6.5	2.5	6.7	36.9	0.7	2.5	29.8	0.8	1	74.6	4.4	2.7	0.8	0.3	1	4	0
Marcus Morris Sr. cle/phi	SF	49	16.7	6.4	2.4	5.4	43.9	1	2.4	40.3	0.7	0.9	81.8	2.7	0.7	0.3	0.3	0.6	0	0
Chris Boucher tor	PF	50	14.1	6.4	2.2	4.3	50.7	0.6	1.9	33	1.4	1.8	77.2	4.1	0.5	0.3	0.5	0.6	0	0
Jared Butler wsh	SG	40	14.2	6.3	2.5	5	48.8	0.6	2	30.8	0.8	0.9	86.1	1.5	3.2	0.7	0.2	1.3	1	0
Bruno Fernando atl	F	45	15.2	6.3	2.4	4.2	58.3	0	0.1	0	1.4	2.1	66.7	4.3	1	0.6	0.6	1	0	0
Jae Crowder MIL	PF	50	23.1	6.2	2.3	5.4	42.2	1.2	3.3	34.9	0.5	0.7	72.2	3.2	1.3	0.8	0.2	0.5	0	0
Jaylen Nowell mem/det	SG	13	16.5	6.2	2.6	6	43.6	0.5	2.2	20.7	0.5	0.7	77.8	1.8	1.5	0.3	0.2	0.5	0	0
Keon Johnson bkn	G	5	12.2	6.2	1.6	4.2	38.1	0.8	2	40	2.2	2.4	91.7	1.4	0.6	0.6	0.2	1	0	0
Vit Krejci atl	G	22	24.6	6.1	2.3	4.7	49	1.3	3.1	41.2	0.2	0.3	83.3	2.4	2.3	0.6	0.3	0.9	0	0
Ben Simmons bkn	PG	15	23.9	6.1	2.9	4.9	58.1	0	0	0	0.4	1	40	7.9	5.7	0.8	0.6	1.8	3	0
Zavier Simpson mem	G	7	23	6	2.4	7.7	31.5	0.7	2.4	29.4	0.4	0.6	75	2.9	3.6	1	0.4	1.4	0	0
Tosan Evbuomwan mem/det	F	17	21.6	5.9	2.1	4.2	50.7	0.7	1.9	37.5	1	1.5	68	3.5	0.9	0.4	0.3	0.5	0	0
Justin Champagnie wsh	SF	15	15.7	5.9	2.1	5.2	41	0.9	3	28.9	0.8	1	80	3.5	1.3	0.7	0.6	0.7	0	0
Nick Smith Jr. CHA	G	51	14.3	5.9	2.2	5.7	39.1	1.2	2.9	43.2	0.3	0.3	86.7	1.4	1.2	0.2	0.1	0.8	0	0
Noah Clowney bkn	F	23	16.1	5.8	2.2	4	53.8	0.5	1.4	36.4	0.9	1.3	70	3.5	0.8	0.3	0.7	0.7	1	0
Torrey Craig chi	SF	53	19.8	5.7	2	4.7	43	1.1	2.9	39.2	0.5	0.7	75	4.1	1.1	0.6	0.4	0.6	1	0
Danilo Gallinari MIL/WSH/DET	PF	49	12.8	5.7	1.7	3.9	43.7	0.6	1.9	32.3	1.7	2	85.7	2.2	1.1	0.3	0.1	0.5	0	0
Thomas Bryant mia	C	38	11.6	5.7	2.3	3.9	57.7	0.1	0.6	18.2	1.1	1.2	87.2	3.7	0.6	0.3	0.4	0.6	2	0
Craig Porter Jr. CLE	G	51	12.7	5.6	2.3	4.5	50.9	0.2	0.7	35.3	0.8	1.1	73.2	2.1	2.3	0.4	0.3	0.9	0	0
Mitchell Robinson ny	C	31	24.8	5.6	2.4	4.1	57.5	0	0	0	0.9	2.1	40.9	8.5	0.6	1.2	1.1	0.8	2	0
Dexter Dennis DAL	G	4	7.5	5.5	2.5	4.8	52.6	0.3	2	12.5	0.3	0.8	33.3	2.3	1	0	0.3	0.8	0	0
Neemias Queta bos	C	28	11.9	5.5	2.4	3.7	64.4	0	0	0	0.7	1	71.4	4.4	0.7	0.5	0.8	0.5	2	0
Gary Payton II gs	SG	44	15.5	5.5	2.3	4.2	56.3	0.5	1.3	36.4	0.3	0.5	60.9	2.6	1.1	0.9	0.4	0.6	0	0
Keon Ellis sac	G	57	17.2	5.4	1.9	4.1	46.1	1.2	2.9	41.7	0.5	0.6	74.3	2.2	1.5	0.9	0.5	0.6	0	0
Matt Ryan NO	F	28	13.9	5.4	1.8	4	43.4	1.5	3.3	45.1	0.5	0.5	92.9	1.4	0.6	0.2	0	0.7	0	0
Cam Reddish lal	SF	48	20.5	5.4	1.9	4.9	38.9	0.8	2.3	33.6	0.9	1.1	75.9	2.1	1	1	0.3	0.6	0	0
Ricky Council IV PHI	G	32	9	5.4	1.7	3.5	48.2	0.4	1	37.5	1.7	2.2	74.6	1.4	0.5	0.3	0	0.2	1	0
Dean Wade cle	PF	54	20.5	5.4	1.8	4.3	41.4	1.5	3.7	39.1	0.4	0.5	76.9	4	0.8	0.7	0.5	0.4	0	0
Sasha Vezenkov sac	F	42	12.2	5.4	2	4.5	44	1.1	2.9	37.5	0.3	0.4	80	2.3	0.5	0.5	0.2	0.3	0	0
Darius Bazley utah/phi	F	9	16.9	5.3	2	3.3	60	0.2	0.9	25	1.1	1.3	83.3	3.1	0.8	0.7	0.8	0.9	0	0
Mason Plumlee lac	C	46	14.7	5.3	1.9	3.3	56.9	0	0.1	0	1.5	2.2	70.7	5.1	1.2	0.3	0.4	0.8	2	0
Stanley Umude det	G	24	12.8	5.3	1.5	3.5	44	1	2.2	45.3	1.2	1.3	90.6	2.1	0.5	0.3	0.3	0.6	0	0
Xavier Tillman bos/mem	F	54	18.1	5.3	2.2	5.2	43.4	0.4	1.5	24.7	0.4	0.9	44	3.9	1.4	0.9	0.8	0.6	2	0
Brandon Boston Jr. LAC	SG	32	10.8	5.2	2	5	40.4	0.4	1.6	26.9	0.7	1	69.7	1.6	0.4	0.3	0.3	0.8	0	0
Aleksej Pokusevski okc/cha	F	28	14.5	5.2	1.8	4.3	40.5	0.6	2	32.7	1.1	1.5	73.2	3.2	1.3	0.5	0.5	0.7	0	0
Bol Bol PHX	C	43	10.9	5.2	2.2	3.5	61.6	0.5	1.2	42.3	0.3	0.4	78.9	3.2	0.4	0.2	0.6	0.4	1	0
Jarred Vanderbilt lal	PF	29	20	5.2	2	3.9	51.8	0.3	0.9	29.6	0.8	1.2	66.7	4.8	1.2	1.2	0.2	1	0	0
Seth Curry dal/cha	SG	44	14	5.1	1.8	4.6	39.2	0.9	2.5	35.2	0.6	0.7	90.3	1.5	1	0.5	0.1	0.5	0	0
D.J. Wilson phi	F	2	7.5	5	2	3	66.7	1	1	100	0	0	0	1	1	0	1	0	0	0
Kobi Simmons tor	G	4	16.8	5	2.3	5.3	42.9	0.5	2	25	0	0	0	1.8	3	1.5	0.5	0.3	0	0
Jalen Wilson BKN	F	43	15.5	5	1.8	4.2	42.5	0.6	1.7	32.4	0.9	1.1	82.6	3	1	0.3	0.1	0.4	1	0
Richaun Holmes wsh/dal	F	40	13.9	5	2.1	3.7	55.8	0	0.1	33.3	0.9	1.2	72.3	4.6	0.6	0.3	0.5	0.6	4	0
Monte Morris min/det	PG	33	14.4	5	1.9	4.6	40.5	0.8	2.1	38.6	0.4	0.6	68.4	1.7	2.1	0.6	0.3	0.2	0	0
Devonte' Graham SA	PG	23	13.6	5	1.7	4.7	35.2	1.1	3.6	30.1	0.6	0.7	81.3	1.6	2.1	0.4	0.1	0.7	0	0
Isaiah Livers wsh/det	PF	23	20.4	5	1.7	5	34.5	1	3.3	28.6	0.5	0.8	66.7	2.1	1.1	0.6	0.2	0.7	0	0
Jock Landale hou	C	56	13.6	4.9	1.9	3.7	51.5	0.2	0.7	25	0.9	1.2	80	3.1	1.2	0.4	0.6	0.6	1	0
Jared Rhoden det	G	17	14.4	4.9	1.9	3.9	50	0.7	1.8	38.7	0.3	0.5	62.5	1.9	0.8	0.2	0.8	0.4	0	0
Eugene Omoruyi wsh	F	43	9.1	4.8	1.9	3.9	48.5	0.3	1.1	28.3	0.7	1.1	65.3	2	0.8	0.6	0.1	0.5	1	0
DeJon Jarreau mem	F	9	16.7	4.8	1.9	5.6	34	0.4	1.4	30.8	0.6	1.2	45.5	4.9	2.9	0.7	0.2	1	0	0
Kobe Bufkin atl	G	17	11.5	4.8	2	5.4	37	0.5	2.4	22.5	0.2	0.5	50	1.9	1.6	0.4	0.3	0.6	0	0
Omer Yurtseven UTAH	C	48	11.4	4.6	2.1	3.8	53.8	0.1	0.5	20.8	0.4	0.6	67.9	4.3	0.6	0.2	0.4	0.8	2	0
Kenneth Lofton Jr. utah/mem/phi	F	21	9.4	4.6	1.7	3.7	46.2	0.3	1.1	29.2	0.8	1.2	65.4	1.8	1.6	0.3	0.2	0.7	0	0
Julian Strawther DEN	G	50	10.9	4.5	1.6	4.4	36.9	0.8	2.8	29.7	0.4	0.6	71	1.2	0.9	0.3	0.1	0.5	0	0
Shake Milton min/ny/det	SG	48	12.1	4.5	1.6	4.1	40.5	0.4	1.3	28.1	0.8	1	81.6	1.6	1.3	0.4	0.1	0.6	0	0
Taze Moore por	G	4	10	4.5	2	4.8	42.1	0.3	1.8	14.3	0.3	0.5	50	2	1.3	0.5	0	0.8	0	0
AJ Green mil	G	56	11	4.5	1.5	3.5	42.3	1.2	3	40.8	0.3	0.3	89.5	1.1	0.5	0.2	0.1	0.2	0	0
Delon Wright mia/wsh	SG	47	15.8	4.5	1.6	4	39.4	0.5	1.4	36.8	0.8	1	82.2	1.8	2.5	1.1	0.2	0.3	0	0
Patrick Baldwin Jr. wsh	F	38	13	4.4	1.6	4.1	38.1	0.8	2.6	32	0.5	0.8	69	3.2	0.8	0.5	0.4	0.5	2	0
Maxi Kleber dal	PF	43	20.3	4.4	1.5	3.4	43.2	0.7	2.1	34.8	0.8	1.1	70.2	3.3	1.6	0.4	0.7	0.7	1	0
Mo Bamba phi	C	57	13	4.4	1.7	3.5	49	0.4	1.1	39.1	0.6	0.9	68	4.2	0.7	0.4	1.1	0.7	1	0
Lester Quinones GS	G	37	10.6	4.4	1.5	3.8	39.7	0.9	2.4	36.4	0.5	0.8	69	1.9	1	0.2	0.1	0.5	0	0
Jontay Porter tor	C	26	13.8	4.4	1.5	4	38.5	0.8	2.3	33.3	0.6	0.7	83.3	3.2	2.3	0.8	0.8	0.8	0	0
Ben Sheppard ind	G	57	14.3	4.4	1.6	4	39.3	0.9	2.7	31.4	0.4	0.5	88.5	1.6	0.9	0.6	0	0.3	0	0
MarJon Beauchamp mil	F	48	12.7	4.4	1.7	3.5	48.8	0.6	1.6	40	0.4	0.6	67.9	2.1	0.6	0.3	0.1	0.6	0	0
Robert Covington lac/phi	PF	29	16.8	4.4	1.5	3.4	43.9	0.7	1.9	33.9	0.8	0.9	84.6	3.3	0.8	1.3	0.6	0.4	0	0
Dominick Barlow SA	F	33	12.7	4.4	1.7	3.4	49.6	0.1	0.3	33.3	0.9	1.3	69	3.4	1.1	0.4	0.4	0.3	0	0
Bismack Biyombo okc/mem	C	40	19.8	4.4	1.9	3.3	56.5	0	0	0	0.7	1.4	48.1	5.2	1.3	0.3	0.9	1.1	2	0
Jeff Dowtin Jr. phi	G	12	11.8	4.3	1.7	3	55.6	0.8	1.6	47.4	0.3	0.3	75	1.7	2.3	0.6	0.1	0.4	0	0
Dru Smith mia	G	9	14.6	4.3	1.7	3.7	45.5	0.8	1.9	41.2	0.2	0.2	100	1.6	1.6	1	0.3	0.6	0	0
John Konchar mem	SG	55	21.3	4.3	1.6	3.8	42.3	0.7	2.2	31.7	0.4	0.5	84	4.7	2	0.9	0.9	0.8	1	0
Danuel House Jr. phi	SF	34	15	4.2	1.4	3.1	44.8	0.4	1.5	30	1	1.4	76.1	1.7	0.8	0.4	0.1	0.6	0	0
Jacob Gilyard bkn/mem	G	41	17	4.2	1.5	3.7	40	1.2	3.1	40.5	0	0	100	1.1	3.3	0.8	0.1	0.7	0	0
Ashton Hagans por	G	19	16.6	4.2	1.5	3.7	40.8	0.4	1.3	32	0.7	0.9	82.4	2.4	2.8	0.6	0.5	1.6	0	0
Armoni Brooks BKN	G	10	10.4	4.2	1.5	4.6	32.6	1.1	3.2	34.4	0.1	0.2	50	1.8	0.5	0.1	0.1	0.3	0	0
Thaddeus Young tor/phx	F	33	13.3	4.2	2	3.3	60.2	0	0.2	14.3	0.2	0.5	40	3.1	1.7	0.7	0.2	0.5	0	0
Sandro Mamukelashvili SA	PF	46	9.8	4.1	1.6	3.4	47.1	0.4	1.4	29.7	0.5	0.7	73.5	3.2	1.1	0.2	0.3	0.4	3	0
Luka Samanic Utah	F	43	9.4	4.1	1.4	3.7	38	0.3	1.5	20.3	1	1.3	78.6	2.4	0.4	0.1	0.2	0.7	1	0
Skylar Mays por/lal	SG	38	11.4	4.1	1.7	4.2	39.6	0.4	1.4	29.6	0.3	0.4	76.5	1.1	2.2	0.6	0.1	0.5	2	0
Ousmane Dieng OKC	F	33	11.1	4	1.5	3.5	42.2	0.6	2.1	30	0.4	0.5	87.5	1.5	1.1	0.2	0.2	0.6	0	0
JaVale McGee sac	C	46	7.4	4	1.7	2.9	59.8	0	0.2	14.3	0.6	1	57.8	2.7	0.4	0.3	0.4	0.7	0	0
Izaiah Brockington NO	G	1	3	4	2	5	40	0	1	0	0	0	0	2	0	0	0	0	0	0
Matt Hurt MEM	F	8	14.1	4	1.5	4.3	35.3	0.6	2.5	25	0.4	0.4	100	2	0.5	0.4	0.4	0.3	0	0
Adama Sanogo CHI	C	9	7.3	4	1.6	3	51.9	0	0	0	0.9	1.3	66.7	4	0	0.1	0	0.6	1	0
Mouhamed Gueye atl	F	6	12.2	4	1.3	3.8	34.8	0.5	1.5	33.3	0.8	1	83.3	3.7	0.7	0.8	0.7	0.2	0	0
Rayan Rupert por	G	39	16.2	4	1.4	4.1	33.5	0.7	2	35.9	0.5	0.6	76	2.4	1.6	0.3	0.1	0.8	0	0
Patty Mills atl/mia	PG	32	13	4	1.4	4.1	35.1	0.8	2.7	27.6	0.3	0.3	100	1.1	1.1	0.6	0	0.5	0	0
Luka Garza min	c	25	4.9	4	1.4	3	48	0.4	1.3	28.1	0.7	1	72	1.2	0.2	0.2	0	0.2	0	0
Svi Mykhailiuk BOS	SG	41	10.1	4	1.4	3.3	41.6	1	2.6	38.9	0.1	0.2	66.7	1.2	0.9	0.3	0	0.3	0	0
DeAndre Jordan den	C	36	11	3.9	1.6	2.6	62.4	0	0	0	0.7	1.5	49.1	4.4	0.7	0.2	0.4	0.6	1	0
Jules Bernard wsh	G	19	7.8	3.9	1.5	3.4	45.3	0.6	1.5	37.9	0.3	0.5	55.6	1.4	0.8	0.2	0.1	0.4	0	0
Anthony Gill wsh	PF	50	9.3	3.8	1.5	3.2	46.9	0.2	0.8	24.4	0.6	0.7	80.6	1.9	0.7	0.3	0.2	0.5	0	0
Sidy Cissoko SA	G	12	11.8	3.8	1.3	2.8	48.5	0.1	1	8.3	1	1.3	80	1.8	0.8	0.6	0.3	0.3	0	0
Jamal Cain mia	F	26	10	3.7	1.3	3	43	0.4	1.2	35.5	0.7	0.9	78.3	1.4	0.4	0.4	0.2	0.3	0	0
T.J. Warren MIN	SF	11	11.4	3.7	1.6	3.7	43.9	0.2	1.2	15.4	0.3	0.4	75	2	0.8	0.4	0.1	0.4	0	0
Keita Bates-Diop bkn/phx	SF	53	12.5	3.7	1.4	3.1	43.4	0.4	1.3	30.4	0.6	0.8	76.2	2.1	0.7	0.5	0.4	0.3	0	0
Drew Peterson BOS	F	3	7.7	3.7	1.3	2	66.7	1	1.7	60	0	0	0	0.3	0.3	0.7	0	0.3	0	0
Oshae Brissett bos	SF	55	11.5	3.7	1.2	2.8	44.4	0.3	1	27.3	0.9	1.5	60.2	2.9	0.8	0.3	0.1	0.4	0	0
